id,name,genre,grade_int,rating,ascents_done_count,overhang,vertical,slab,crag_name
300295,Armani höger,Sport,750,1.2,5,1.0,0.0,0.0,Henriksdal
57088,Okändis 2,Sport,400,1.1828,93,0.0,1.0,0.0,Flaten
37200,Silicon valley,Sport,600,1.1818,55,0.0,1.0,0.0,Skevik
22703,Eldonia,Sport,850,1.1786,28,1.0,0.0,0.0,Ekoberget
21219,Luftslottet direkt,Sport,650,1.1709,158,1.0,0.0,0.0,Skevik
39769,Captain Cook,Sport,750,1.1667,6,0.0,0.0,1.0,Dyviksudd
39231,Utan Smör,Sport,800,1.1548,85,1.0,0.0,0.0,Örnberget
12155,Orup,Sport,800,1.1449,138,1.0,0.0,0.0,Örnberget
99072,Fyrsprickan,Traditional,450,1.1429,7,1.0,0.0,0.0,Häggsta
26866,Ge kärleken en chans,Sport,950,1.1364,22,1.0,0.0,0.0,Anneberg
21931,Non Stop,Sport,800,1.1341,83,1.0,0.0,0.0,Skevik
45993,Filosofens spricka,Traditional,400,1.125,8,0.0,0.0,1.0,Träskberget
77305,Casall,Sport,800,1.12,25,1.0,0.0,0.0,Sjötorpsberget
51203,Fobi,Sport,800,1.1111,9,0.0,1.0,0.0,Skevik
42290,Tirpitz,Sport,750,1.1,20,0.0,1.0,0.0,Gåseborg
289216,Evolution,Sport,550,1.1,10,0.0,1.0,0.0,Ekoberget
43211,Vox Populi,Sport,750,1.0833,12,1.0,0.0,0.0,Träskberget
245424,On Stage,Sport,400,1.0833,12,0.0,1.0,0.0,Kanalklippan
45978,Speedball,Sport,650,1.0769,13,1.0,0.0,1.0,Saharaväggen
41929,Agent Luhr ser rött,Sport,900,1.0769,13,0.0,1.0,0.0,Noret
45927,Hem ljuva hem,Sport,800,1.0769,13,1.0,0.0,0.0,Noret
12162,Icones,Sport,650,1.0606,132,1.0,0.0,0.0,Skevik
42330,Titta vi flyger,Sport,700,1.0581,86,1.0,0.0,0.0,Flaten
74294,Kalaspuffen,Sport,650,1.0526,19,1.0,0.0,0.0,Sjötorpsberget
